article_id;biomarker_name;biomarker_type;sample_type;detection_technique;key_results;disease_stage;advantages;limitations;clinical_application
"Dekker, Shosha E. I.; Verhoeven, Aswin; Frey, Daria; Soonawala, Darius; Peters, Dorien J. M.; Mayboroda, Oleg A.; de Fijter, Johan W.2022";Betaína;Metabolómico;Orina;Espectrometría de NMR;"Elevado en los progresadores rápidos (log2FC > 0, p < 0.05), forma parte del modelo de metabolitos (AUC = 0.72) el cual consigue la máxima AUC al combinarlo con la htTKV (AUC = 0.75; htTKV por separado, AUC = 0.67).";Más presente en progresadores rápidos, sobre todo de isoformas de distinto peso molecular (70, 35, 25 KDa cuando el peso normal es de 40).;Fácil extracción, no invasivo;Pendiente de validación y estandarización en estudios prospectivos más grandes;Posible marcador de progresión en progresadores rápidos.
"Dekker, Shosha E. I.; Verhoeven, Aswin; Frey, Daria; Soonawala, Darius; Peters, Dorien J. M.; Mayboroda, Oleg A.; de Fijter, Johan W.2022";Citrato;Metabolómico;Orina;Espectrometría de NMR;Disminuido en los progresadores rápidos (log2FC < 0, p < 0.05), también se ha visto en el estudio longitudinal que este marcador disminuye mucho más en progresadores rápidos que en lentos.;Disminuye su concentración con la progresión de la enfermedad.;Fácil extracción, no invasivo;Pendiente de validación y estandarización en estudios prospectivos más grandes;Posible marcador de progresión en progresadores rápidos.
"Dekker, Shosha E. I.; Verhoeven, Aswin; Frey, Daria; Soonawala, Darius; Peters, Dorien J. M.; Mayboroda, Oleg A.; de Fijter, Johan W.2022";Fenilacetilglicina;Metabolómico;Orina;Espectrometría de NMR;"Disminuido en los progresadores rápidos (log2FC < 0, p < 0.05), forma parte del modelo de metabolitos (AUC = 0.72) el cual consigue la máxima AUC al combinarlo con la htTKV (AUC = 0.75; htTKV por separado, AUC = 0.67).";Más presente en progresadores rápidos, sobre todo de isoformas de distinto peso molecular (70, 35, 25 KDa cuando el peso normal es de 40).;Fácil extracción, no invasivo;Pendiente de validación y estandarización en estudios prospectivos más grandes;Posible marcador de progresión en progresadores rápidos.
"Dekker, Shosha E. I.; Verhoeven, Aswin; Frey, Daria; Soonawala, Darius; Peters, Dorien J. M.; Mayboroda, Oleg A.; de Fijter, Johan W.2022";Ratio alanina/citrato;Metabolómico;Orina;Espectrometría de NMR;"Elevado en los progresadores rápidos (log2FC > 0, p < 0.05), forma parte del modelo de metabolitos (AUC = 0.72) el cual consigue la máxima AUC al combinarlo con la htTKV (AUC = 0.75; htTKV por separado, AUC = 0.67).";Más presente en progresadores rápidos, sobre todo de isoformas de distinto peso molecular (70, 35, 25 KDa cuando el peso normal es de 40).;Fácil extracción, no invasivo;Pendiente de validación y estandarización en estudios prospectivos más grandes;Posible marcador de progresión en progresadores rápidos.
"Dekker, Shosha E. I.; Verhoeven, Aswin; Frey, Daria; Soonawala, Darius; Peters, Dorien J. M.; Mayboroda, Oleg A.; de Fijter, Johan W.2022";Ratio mioinositol/citrato;Metabolómico;Orina;Espectrometría de NMR;En el estudio longitudinal, aumenta en progresadores rápidos (p < 0.001) mientras que en los lentos no lo hace (p = 0.38). Además, como se incrementa con el tiempo y el avance de la enfermedad, los progresadores rápidos tienen un incremento mucho mayor en el mismo intervalo de tiempo que los lentos (p < 0.01).;Aumenta su concentración con el progreso de la enfermedad;Fácil extracción, no invasivo;Pendiente de validación y estandarización en estudios prospectivos más grandes;Posible marcador de progresión en progresadores rápidos.
"Evenepoel, Pieter; Claes, Kathleen; Cavalier, Etienne; Meijers, Bjorn; Stenvinkel, Peter; Behets, Geert; Jankowska, Magdalena; D'Haese, Patrick; Bammens, Bert2019";BsAP;Bioquímico;Sangre;Análisis bioquímico;Niveles significativamente mayores en pacientes con ERT (no ADPKD) que en pacientes con ERT debida a ADPKD (p < 0.001).;;Fácil extracción, poco invasivo;Implicaciones clínicas aún por definir, pendiente de validación y estandarización.;Aún por definir.
"Evenepoel, Pieter; Claes, Kathleen; Cavalier, Etienne; Meijers, Bjorn; Stenvinkel, Peter; Behets, Geert; Jankowska, Magdalena; D'Haese, Patrick; Bammens, Bert2019";Densidad Mineral Ósea (DMO);Antropométrico;Imagen;DXA;Mejor preservada en pacientes con ADPKD que en aquellos con ERT (no ADPKD).;;Fácil extracción, no invasivo;Implicaciones clínicas aún por definir, pendiente de validación y estandarización.;Aún por definir.
"Evenepoel, Pieter; Claes, Kathleen; Cavalier, Etienne; Meijers, Bjorn; Stenvinkel, Peter; Behets, Geert; Jankowska, Magdalena; D'Haese, Patrick; Bammens, Bert2019";Esclerostina;Bioquímico;Sangre;Análisis bioquímico;Niveles significativamente menores en pacientes con ERT (no ADPKD) que en pacientes con ERT debida a ADPKD (p < 0.001). Esto se asocia con una mecanosensación alterada, bajo turnover óseo e incluso osteopenia.;;Fácil extracción, poco invasivo;Implicaciones clínicas aún por definir, pendiente de validación y estandarización.;Aún por definir.
"Evenepoel, Pieter; Claes, Kathleen; Cavalier, Etienne; Meijers, Bjorn; Stenvinkel, Peter; Behets, Geert; Jankowska, Magdalena; D'Haese, Patrick; Bammens, Bert2019";TRAP5b;Bioquímico;Sangre;Análisis bioquímico;Niveles significativamente mayores en pacientes con ERT (no ADPKD) que en pacientes con ERT debida a ADPKD (p < 0.01).;;Fácil extracción, poco invasivo;Implicaciones clínicas aún por definir, pendiente de validación y estandarización.;Aún por definir.
"Fang, Hui; Xue, Kai; Yang, Teng2023";FGF2 (mRNA);Transcriptómico;Biopsia renal, sangre, Lisado de cultivo celular;Análisis de enriquecimiento, qRT-PCR;Upregulado en ADPKD en la red miRNA-mRNA predicha (p < 0.05). Upregulado in vitro en ADPKD qRT-PCR (p < 0.05). Inhibido in vitro por la sobreexpresión de miR-107.;;Muestra poco invasiva;Pendiente de validación y estandarización en estudios prospectivos más grandes;Diagnóstico, pronóstico, respuesta a la terapia
