article_id;biomarker_name;biomarker_type;type_sample_tech;app_stage;key_results;limitations
Salih, 2016;Complemento C3;['Proteómico', 'VE'];Proteómico VE (Orina) / Espectrometría de masas, inmunoblot;Diagnóstico, pronóstico, respuesta a la terapia (Todas);"Más abundante en proteómica (2x o más) en las VEus con ADPKD que en las VEus de sanos y con ERC (no ADPKD).
Sobrerrepresentado en análisis de enriquecimiento.
Correlación positiva y significativa con volumen renal total (r = 0.65, p < 0.01).
El análisis en tejido renal murino demostró una mayor expresión en estadios más graves de la enfermedad y una tendencia a una correlación moderada con el peso renal (r = 0.57, p = 0.05).";"Su especificidad está en actual discusión.
Pendiente de validación y estandarización."
Salih, 2016;Villina-1;['Proteómico', 'VE'];Proteómico VE (Orina) / Espectrometría de masas, inmunoblot;Diagnóstico, pronóstico, respuesta a la terapia (Avanzada);"Más abundante en proteómica (2x o más) en las VEus con ADPKD que en las VEus de sanos y con ERC (no ADPKD).
Sobrerrepresentado en análisis de enriquecimiento.
Mayor abundancia en estadíos avanzados de ADPKD (inmunoblot).
Correlación positiva y significativa con volumen renal total (r = 0.51, p < 0.005).
El análisis en tejido renal murino demostró una mayor expresión en estadios más graves de la enfermedad y una correlación con el peso renal (r = 0.64, p < 0.05).";"Útil solo para fases avanzadas de ADPKD.
Pendiente de validación y estandarización."
Salih, 2016;Periplakina;['Proteómico', 'VE'];Proteómico VE (Orina) / Espectrometría de masas, inmunoblot;Diagnóstico, pronóstico, respuesta a la terapia (Avanzada);"Más abundante en proteómica (2x o más) en las VEus con ADPKD que en las VEus de sanos y con ERC (no ADPKD).
Sobrerrepresentado en análisis de enriquecimiento.
Mayor abundancia en estadíos avanzados de ADPKD (inmunoblot).
Correlación positiva y significativa con volumen renal total (r = 0.51, p < 0.005).
El análisis en tejido renal murino demostró una mayor expresión en estadios más graves de la enfermedad y una correlación baja y no significativa con el peso renal (r = 0.21, p = 0.5).";"Útil solo para fases avanzadas de ADPKD.
Pendiente de validación y estandarización."
Salih, 2016;Envoplakina;['Proteómico', 'VE'];Proteómico VE (Orina) / Espectrometría de masas, inmunoblot;Diagnóstico, pronóstico, respuesta a la terapia (Avanzada);"Más abundante en proteómica (2x o más) en las VEus con ADPKD que en las VEus de sanos y con ERC (no ADPKD).
Sobrerrepresentado en análisis de enriquecimiento.
Mayor abundancia en estadíos avanzados de ADPKD (inmunoblot).
Correlación positiva y significativa con volumen renal total (r = 0.71, p < 0.01).
El análisis en tejido renal murino demostró una mayor expresión en estadios más graves de la enfermedad y una correlación con el peso renal (r = 0.71, p < 0.01).";"Útil solo para fases avanzadas de ADPKD.
Pendiente de validación y estandarización."
Salih, 2016;Complemento C9;['Proteómico', 'VE'];Proteómico VE (Orina) / Espectrometría de masas, inmunoblot;Diagnóstico, pronóstico, respuesta a la terapia (Todas);"Más abundante en proteómica (2x o más) en las VEus con ADPKD que en las VEus de sanos y con ERC (no ADPKD).
Sobrerrepresentado en análisis de enriquecimiento.
Correlación positiva y significativa con volumen renal total (r = 0.65, p < 0.01).
El análisis en tejido renal murino demostró una mayor expresión en estadios más graves de la enfermedad y una correlación moderada con el peso renal (r = 0.83, p < 0.01).";"Su especificidad está en actual discusión.
Pendiente de validación y estandarización."
Raptis, 2018;HIF-1a;['Bioquímico'];Bioquímico (Sangre) / ELISA;Diagnóstico, pronóstico, respuesta a la terapia (Aumenta su concentración con el progreso de la enfermedad);"El Grupo A tenía niveles significativamente más altos (163,68 ± 37,84 pg/mL) en comparación con el Grupo B (136,84 ± 42,10 pg/mL, p = 0,019) y con los controles (70,20 ± 17,49 pg/mL, p < 0,001).
También significativamente más alto en Grupo B vs Controles (p < 0,001). Este marcador tiene una fuerte correlación con la ADMA (r = 0,998, p < 0,001).";Pendiente de validación y estandarización.
Rauniyar, 2018;APOA1;['Proteómico'];Proteómico (Orina) / Espectrometría de masas;Diagnóstico, pronóstico, respuesta a la terapia ();"Upregulado: log2FC > 3.7, FDR < 0.05).
Presente tanto en validación interna (DDA) como externa (comparación con Bakun et al., 2019) con la misma tendencia de log2FC y de forma estadísticamente significativa.";Pendiente de validación y estandarización.
Rauniyar, 2018;APOA2;['Proteómico'];Proteómico (Orina) / Espectrometría de masas;Diagnóstico, pronóstico, respuesta a la terapia ();"Upregulado: log2FC > 3.2, FDR < 0.05).
Presente tanto en validación interna (DDA) como externa (comparación con Bakun et al., 2019) con la misma tendencia de log2FC y de forma estadísticamente significativa.";Pendiente de validación y estandarización.
Rauniyar, 2018;APOA4;['Proteómico'];Proteómico (Orina) / Espectrometría de masas;Diagnóstico, pronóstico, respuesta a la terapia ();"Upregulado en ADPKD (log2FC > 4.7, FDR < 0.05).
Presente tanto en validación interna (DDA) como externa (comparación con Bakun et al., 2019) con la misma tendencia de log2FC y de forma estadísticamente significativa.";Pendiente de validación y estandarización.
Rauniyar, 2018;DPEP1;['Proteómico'];Proteómico (Orina) / Espectrometría de masas;Diagnóstico, pronóstico, respuesta a la terapia ();"Downregulado: log2FC < -1.2, FDR < 0.001).
Presente tanto en validación interna (DDA) como externa (comparación con Bakun et al., 2019) con la misma tendencia de log2FC y de forma estadísticamente significativa.";Pendiente de validación y estandarización.
Rauniyar, 2018;EGF;['Proteómico'];Proteómico (Orina) / Espectrometría de masas;Diagnóstico, pronóstico, respuesta a la terapia ();"Downregulado: log2FC < -1.5, FDR < 0.001).
Presente tanto en validación interna (DDA) como externa (comparación con Bakun et al., 2019) con la misma tendencia de log2FC y de forma estadísticamente significativa.";Pendiente de validación y estandarización.
Raptis, 2018;Endocano;['Bioquímico'];Bioquímico (Sangre) / ELISA;Diagnóstico, pronóstico, respuesta a la terapia (Aumenta su concentración con el progreso de la enfermedad);"El Grupo A tenía niveles significativamente más altos (7,17 ± 0,43 ng/mL) en comparación con el Grupo B (6,86 ± 0,59 ng/mL, p = 0,017) y con los controles (4,83 ± 0,69 ng/mL, p < 0,001).
También significativamente más alto en Grupo B vs Controles (p < 0,001).
Fuerte correlación con la ADMA (r = 0,908, p < 0,001).";Pendiente de validación y estandarización.
Rauniyar, 2018;GAS6;['Proteómico'];Proteómico (Orina) / Espectrometría de masas;Diagnóstico, pronóstico, respuesta a la terapia ();"Downregulado: log2FC < -1.5, FDR < 0.001).
Presente tanto en validación interna (DDA) como externa (comparación con Bakun et al., 2019) con la misma tendencia de log2FC y de forma estadísticamente significativa.";Pendiente de validación y estandarización.
Raptis, 2018;Angiopoyetina-2;['Bioquímico'];Bioquímico (Sangre) / ELISA;Diagnóstico, pronóstico, respuesta a la terapia (Aumenta su concentración con el progreso de la enfermedad);"El Grupo A tenía niveles significativamente más altos (5.595,43 ± 3.390) en comparación con el Grupo B (3.854,41 ± 3.014,30, p = 0,018) y con los controles (1.069 ± 427,88 pg/mL, p < 0,001).
También significativamente más alto en Grupo B vs Controles (p < 0,001).
Este marcador tiene una fuerte correlación con la ADMA (r = 0,983, p < 0,001).";Pendiente de validación y estandarización.
Evenepoel, 2019;TRAP5b;['Bioquímico'];Bioquímico (Sangre) / Análisis bioquímico;Aún por definir. ();Niveles significativamente mayores en pacientes con ERT (no ADPKD) que en pacientes con ERT debida a ADPKD (p < 0.01).;"Implicaciones clínicas aún por definir.
Pendiente de validación y estandarización."
Evenepoel, 2019;Esclerostina;['Bioquímico'];Bioquímico (Sangre) / Análisis bioquímico;Aún por definir. ();"Niveles significativamente menores en pacientes con ERT (no ADPKD) que en pacientes con ERT debida a ADPKD (p < 0.001).
Esto se asocia con una mecanosensación alterada, bajo turnover óseo e incluso osteopenia.";"Implicaciones clínicas aún por definir.
Pendiente de validación y estandarización."
Evenepoel, 2019;Densidad Mineral Ósea (DMO);['Antropométrico'];Antropométrico (Imagen) / DXA;Aún por definir. ();Mejor preservada en pacientes con ADPKD que en aquellos con ERT (no ADPKD).;"Implicaciones clínicas aún por definir.
Pendiente de validación y estandarización."
Kocyigit, 2019;Criterios de Síndrome Metabólico NCEP-ATP III (se considera MS si se cumplen al menos 3/5);['Antropométrico,', 'bioquímico'];Antropométrico, bioquímico (Antropométricos, sangre) / Exploración física, análisis bioquímicos;Posible marcador de progresión rápida. ();"En el análisis multivariado, tener una mutación truncante en PKD1 predijo la presencia de SM (OR 1.25; p = 0.002).
Los pacientes con ADPKD y SM también presentan una progresión más rápida de la enfermedad que aquellos que no tienen SM (OR 3.28; p = 0.035)";Pendiente de validación y estandarización.
